index,label,prediction_set,set_size,uncertainty_score,correct
81,8,[8],1,1.0,True
82,7,[7],1,1.0,True
83,5,[5],1,1.0,True
84,5,[5],1,1.0,True
85,8,[8],1,1.0,True
86,3,[3],1,1.0,True
87,4,[],0,0.0,False
88,0,[0],1,1.0,True
89,5,[5],1,1.0,True
90,8,[8],1,1.0,True
91,6,[6],1,1.0,True
92,7,[7],1,1.0,True
93,7,[7],1,1.0,True
94,5,[5],1,1.0,True
95,5,[5],1,1.0,True
96,2,[2],1,1.0,True
97,2,[2],1,1.0,True
98,3,[3],1,1.0,True
99,1,[1],1,1.0,True
100,8,[8],1,1.0,True
101,3,[3],1,1.0,True
102,8,[8],1,1.0,True
103,7,[7],1,1.0,True
104,6,[6],1,1.0,True
105,5,[],0,0.0,False
106,1,[1],1,1.0,True
107,0,[0],1,1.0,True
108,7,[7],1,1.0,True
109,1,[1],1,1.0,True
110,4,[4],1,1.0,True
111,8,[8],1,1.0,True
112,1,[1],1,1.0,True
113,2,[4],1,1.0,False
114,3,[3],1,1.0,True
115,5,[5],1,1.0,True
116,8,[8],1,1.0,True
117,8,[8],1,1.0,True
118,5,[5],1,1.0,True
119,7,[7],1,1.0,True
120,9,[9],1,1.0,True
121,5,[5],1,1.0,True
122,4,[4],1,1.0,True
123,7,[7],1,1.0,True
124,0,[],0,0.0,False
125,1,[1],1,1.0,True
126,0,[0],1,1.0,True
127,4,[4],1,1.0,True
128,6,[6],1,1.0,True
129,7,[7],1,1.0,True
130,0,[0],1,1.0,True
131,9,[9],1,1.0,True
132,4,[4],1,1.0,True
133,3,[3],1,1.0,True
134,4,[4],1,1.0,True
135,9,[9],1,1.0,True
136,4,[4],1,1.0,True
137,3,[3],1,1.0,True
138,2,[2],1,1.0,True
139,9,[9],1,1.0,True
140,7,[7],1,1.0,True
141,6,[6],1,1.0,True
142,1,[1],1,1.0,True
143,3,[7],1,1.0,False
144,8,[8],1,1.0,True
145,3,[],0,0.0,False
146,7,[7],1,1.0,True
147,1,[1],1,1.0,True
148,2,[2],1,1.0,True
149,8,[8],1,1.0,True
150,2,[2],1,1.0,True
151,0,[0],1,1.0,True
152,9,[9],1,1.0,True
153,5,[],0,0.0,False
154,8,[8],1,1.0,True
155,1,[1],1,1.0,True
156,8,[8],1,1.0,True
157,1,[1],1,1.0,True
158,9,[9],1,1.0,True
159,5,[],0,0.0,False
160,0,[0],1,1.0,True
161,1,[],0,0.0,False
162,3,[],0,0.0,False
163,4,[4],1,1.0,True
164,6,[6],1,1.0,True
165,7,[4],1,1.0,False
166,3,[3],1,1.0,True
167,9,[9],1,1.0,True
168,3,[],0,0.0,False
169,4,[4],1,1.0,True
170,2,[2],1,1.0,True
171,7,[],0,0.0,False
172,6,[6],1,1.0,True
173,9,[9],1,1.0,True
174,2,[],0,0.0,False
175,2,[2],1,1.0,True
176,2,[2],1,1.0,True
177,2,[6],1,1.0,False
178,4,[],0,0.0,False
179,8,[8],1,1.0,True
180,4,[4],1,1.0,True
181,7,[7],1,1.0,True
182,0,[0],1,1.0,True
183,6,[6],1,1.0,True
184,8,[8],1,1.0,True
185,7,[7],1,1.0,True
186,9,[9],1,1.0,True
187,8,[8],1,1.0,True
188,9,[9],1,1.0,True
189,4,[4],1,1.0,True
190,1,[1],1,1.0,True
191,7,[7],1,1.0,True
192,7,[7],1,1.0,True
193,2,[2],1,1.0,True
194,2,[2],1,1.0,True
195,9,[9],1,1.0,True
196,6,[3],1,1.0,False
197,9,[9],1,1.0,True
198,4,[4],1,1.0,True
199,5,[5],1,1.0,True
200,1,[1],1,1.0,True
201,8,[8],1,1.0,True
202,3,[],0,0.0,False
203,4,[4],1,1.0,True
204,0,[],0,0.0,False
205,1,[1],1,1.0,True
206,2,[2],1,1.0,True
207,6,[6],1,1.0,True
208,4,[4],1,1.0,True
209,0,[0],1,1.0,True
210,5,[3],1,1.0,False
211,7,[7],1,1.0,True
212,7,[7],1,1.0,True
213,8,[8],1,1.0,True
214,8,[8],1,1.0,True
215,3,[3],1,1.0,True
216,3,[3],1,1.0,True
217,7,[7],1,1.0,True
218,5,[5],1,1.0,True
219,2,[2],1,1.0,True
220,7,[7],1,1.0,True
221,3,[3],1,1.0,True
222,9,[9],1,1.0,True
223,4,[4],1,1.0,True
224,0,[0],1,1.0,True
225,2,[2],1,1.0,True
226,5,[5],1,1.0,True
227,4,[4],1,1.0,True
228,0,[0],1,1.0,True
229,0,[0],1,1.0,True
230,7,[7],1,1.0,True
231,2,[2],1,1.0,True
232,1,[1],1,1.0,True
233,7,[7],1,1.0,True
234,0,[0],1,1.0,True
235,2,[2],1,1.0,True
236,9,[9],1,1.0,True
237,2,[2],1,1.0,True
238,8,[8],1,1.0,True
239,7,[7],1,1.0,True
240,3,[3],1,1.0,True
241,1,[1],1,1.0,True
242,9,[8],1,1.0,False
243,5,[5],1,1.0,True
244,2,[2],1,1.0,True
245,3,[3],1,1.0,True
246,4,[4],1,1.0,True
247,8,[8],1,1.0,True
248,3,[3],1,1.0,True
249,7,[],0,0.0,False
250,1,[1],1,1.0,True
251,6,[6],1,1.0,True
252,1,[1],1,1.0,True
253,3,[3],1,1.0,True
254,2,[2],1,1.0,True
255,2,[2],1,1.0,True
256,8,[8],1,1.0,True
257,2,[2],1,1.0,True
258,1,[1],1,1.0,True
259,9,[9],1,1.0,True
260,8,[8],1,1.0,True
261,8,[8],1,1.0,True
262,9,[0],1,1.0,False
263,5,[5],1,1.0,True
264,3,[3],1,1.0,True
265,7,[7],1,1.0,True
266,8,[8],1,1.0,True
267,0,[0],1,1.0,True
268,5,[5],1,1.0,True
269,1,[1],1,1.0,True
270,4,[4],1,1.0,True
271,7,[7],1,1.0,True
272,4,[4],1,1.0,True
273,0,[0],1,1.0,True
274,9,[],0,0.0,False
275,9,[9],1,1.0,True
276,2,[2],1,1.0,True
277,0,[0],1,1.0,True
278,5,[5],1,1.0,True
279,1,[1],1,1.0,True
280,8,[8],1,1.0,True
281,8,[8],1,1.0,True
282,8,[8],1,1.0,True
283,8,[8],1,1.0,True
284,5,[5],1,1.0,True
285,7,[7],1,1.0,True
286,2,[2],1,1.0,True
287,0,[0],1,1.0,True
288,6,[6],1,1.0,True
289,1,[1],1,1.0,True
290,5,[],0,0.0,False
291,8,[8],1,1.0,True
292,0,[0],1,1.0,True
293,2,[2],1,1.0,True
294,7,[7],1,1.0,True
295,6,[6],1,1.0,True
296,5,[5],1,1.0,True
297,2,[2],1,1.0,True
298,3,[3],1,1.0,True
299,9,[9],1,1.0,True
300,3,[],0,0.0,False
301,3,[3],1,1.0,True
302,2,[2],1,1.0,True
303,1,[1],1,1.0,True
304,2,[2],1,1.0,True
305,3,[3],1,1.0,True
306,0,[0],1,1.0,True
307,1,[1],1,1.0,True
308,4,[6],1,1.0,False
309,8,[8],1,1.0,True
310,3,[5],1,1.0,False
311,8,[8],1,1.0,True
312,3,[3],1,1.0,True
313,1,[1],1,1.0,True
314,6,[6],1,1.0,True
315,4,[4],1,1.0,True
316,0,[0],1,1.0,True
317,4,[4],1,1.0,True
318,9,[9],1,1.0,True
319,1,[1],1,1.0,True
320,5,[5],1,1.0,True
321,2,[2],1,1.0,True
322,2,[2],1,1.0,True
323,3,[3],1,1.0,True
324,4,[4],1,1.0,True
325,0,[0],1,1.0,True
326,0,[],0,0.0,False
327,0,[0],1,1.0,True
328,0,[],0,0.0,False
329,6,[6],1,1.0,True
330,7,[7],1,1.0,True
331,9,[9],1,1.0,True
332,3,[3],1,1.0,True
333,7,[7],1,1.0,True
334,8,[8],1,1.0,True
335,8,[8],1,1.0,True
336,1,[1],1,1.0,True
337,3,[3],1,1.0,True
338,0,[0],1,1.0,True
339,0,[],0,0.0,False
340,3,[3],1,1.0,True
341,2,[2],1,1.0,True
342,6,[6],1,1.0,True
343,2,[2],1,1.0,True
344,5,[5],1,1.0,True
345,2,[2],1,1.0,True
346,3,[],0,0.0,False
347,2,[5],1,1.0,False
348,5,[5],1,1.0,True
349,0,[0],1,1.0,True
350,2,[2],1,1.0,True
351,9,[9],1,1.0,True
352,5,[],0,0.0,False
353,2,[2],1,1.0,True
354,3,[3],1,1.0,True
355,6,[6],1,1.0,True
356,1,[1],1,1.0,True
357,1,[1],1,1.0,True
358,4,[4],1,1.0,True
359,4,[4],1,1.0,True
360,1,[1],1,1.0,True
361,8,[8],1,1.0,True
362,9,[9],1,1.0,True
363,5,[5],1,1.0,True
364,8,[8],1,1.0,True
365,0,[0],1,1.0,True
366,2,[1],1,1.0,False
367,5,[5],1,1.0,True
368,4,[4],1,1.0,True
369,8,[8],1,1.0,True
370,2,[2],1,1.0,True
371,8,[8],1,1.0,True
372,6,[6],1,1.0,True
373,3,[3],1,1.0,True
374,7,[7],1,1.0,True
375,4,[4],1,1.0,True
376,7,[7],1,1.0,True
377,1,[1],1,1.0,True
378,6,[6],1,1.0,True
379,2,[2],1,1.0,True
380,6,[6],1,1.0,True
381,1,[1],1,1.0,True
382,9,[9],1,1.0,True
383,4,[4],1,1.0,True
384,4,[4],1,1.0,True
385,2,[2],1,1.0,True
386,8,[8],1,1.0,True
387,5,[5],1,1.0,True
388,7,[7],1,1.0,True
389,6,[6],1,1.0,True
390,6,[6],1,1.0,True
391,8,[8],1,1.0,True
392,9,[9],1,1.0,True
393,7,[7],1,1.0,True
394,9,[9],1,1.0,True
395,8,[8],1,1.0,True
396,0,[0],1,1.0,True
397,1,[1],1,1.0,True
398,7,[7],1,1.0,True
399,5,[5],1,1.0,True
400,6,[6],1,1.0,True
401,7,[7],1,1.0,True
402,4,[4],1,1.0,True
403,2,[2],1,1.0,True
404,4,[4],1,1.0,True
405,9,[9],1,1.0,True
406,6,[6],1,1.0,True
407,0,[0],1,1.0,True
408,2,[2],1,1.0,True
409,2,[5],1,1.0,False
410,4,[4],1,1.0,True
411,3,[3],1,1.0,True
412,1,[1],1,1.0,True
413,6,[6],1,1.0,True
414,9,[9],1,1.0,True
415,3,[3],1,1.0,True
416,7,[7],1,1.0,True
417,2,[0],1,1.0,False
418,8,[8],1,1.0,True
419,8,[8],1,1.0,True
420,0,[0],1,1.0,True
421,3,[3],1,1.0,True
422,5,[5],1,1.0,True
423,7,[7],1,1.0,True
424,7,[7],1,1.0,True
425,0,[0],1,1.0,True
426,4,[4],1,1.0,True
427,5,[5],1,1.0,True
428,2,[2],1,1.0,True
429,3,[3],1,1.0,True
430,3,[3],1,1.0,True
431,6,[6],1,1.0,True
432,9,[9],1,1.0,True
433,5,[5],1,1.0,True
434,7,[7],1,1.0,True
435,3,[3],1,1.0,True
436,0,[0],1,1.0,True
437,4,[4],1,1.0,True
438,5,[5],1,1.0,True
439,5,[5],1,1.0,True
440,1,[1],1,1.0,True
441,1,[1],1,1.0,True
442,4,[4],1,1.0,True
443,7,[7],1,1.0,True
444,9,[9],1,1.0,True
445,2,[2],1,1.0,True
446,8,[8],1,1.0,True
447,9,[9],1,1.0,True
448,2,[2],1,1.0,True
449,7,[7],1,1.0,True
450,1,[1],1,1.0,True
451,9,[9],1,1.0,True
452,0,[0],1,1.0,True
453,4,[4],1,1.0,True
454,6,[6],1,1.0,True
455,2,[2],1,1.0,True
456,7,[7],1,1.0,True
457,4,[],0,0.0,False
458,1,[1],1,1.0,True
459,5,[5],1,1.0,True
460,9,[9],1,1.0,True
461,7,[7],1,1.0,True
462,6,[6],1,1.0,True
463,5,[5],1,1.0,True
464,0,[0],1,1.0,True
465,3,[3],1,1.0,True
466,6,[6],1,1.0,True
467,1,[1],1,1.0,True
468,4,[],0,0.0,False
469,0,[0],1,1.0,True
470,0,[0],1,1.0,True
471,6,[6],1,1.0,True
472,4,[4],1,1.0,True
473,3,[3],1,1.0,True
474,8,[8],1,1.0,True
475,8,[8],1,1.0,True
476,2,[2],1,1.0,True
477,4,[4],1,1.0,True
478,0,[0],1,1.0,True
479,4,[4],1,1.0,True
480,3,[3],1,1.0,True
481,2,[2],1,1.0,True
482,9,[9],1,1.0,True
483,9,[9],1,1.0,True
484,2,[2],1,1.0,True
485,9,[9],1,1.0,True
486,6,[6],1,1.0,True
487,3,[3],1,1.0,True
488,5,[5],1,1.0,True
489,0,[0],1,1.0,True
490,5,[5],1,1.0,True
491,5,[5],1,1.0,True
492,3,[3],1,1.0,True
493,4,[4],1,1.0,True
494,2,[2],1,1.0,True
495,7,[7],1,1.0,True
496,6,[6],1,1.0,True
497,0,[0],1,1.0,True
498,8,[8],1,1.0,True
499,2,[2],1,1.0,True
500,4,[4],1,1.0,True
501,4,[4],1,1.0,True
502,2,[2],1,1.0,True
503,6,[6],1,1.0,True
504,8,[8],1,1.0,True
505,1,[1],1,1.0,True
506,8,[8],1,1.0,True
507,3,[3],1,1.0,True
508,0,[0],1,1.0,True
509,1,[1],1,1.0,True
510,4,[4],1,1.0,True
511,5,[3],1,1.0,False
512,6,[6],1,1.0,True
513,0,[0],1,1.0,True
514,6,[6],1,1.0,True
515,4,[4],1,1.0,True
516,9,[9],1,1.0,True
517,6,[],0,0.0,False
518,2,[2],1,1.0,True
519,8,[8],1,1.0,True
520,6,[6],1,1.0,True
521,9,[9],1,1.0,True
522,5,[5],1,1.0,True
523,7,[7],1,1.0,True
524,7,[7],1,1.0,True
525,7,[7],1,1.0,True
526,3,[3],1,1.0,True
527,1,[1],1,1.0,True
528,0,[0],1,1.0,True
529,1,[1],1,1.0,True
530,6,[6],1,1.0,True
531,4,[4],1,1.0,True
532,8,[8],1,1.0,True
533,9,[],0,0.0,False
534,5,[5],1,1.0,True
535,1,[1],1,1.0,True
536,1,[1],1,1.0,True
537,4,[4],1,1.0,True
538,6,[6],1,1.0,True
539,7,[7],1,1.0,True
540,2,[2],1,1.0,True
541,3,[3],1,1.0,True
542,2,[2],1,1.0,True
543,4,[4],1,1.0,True
544,5,[5],1,1.0,True
545,3,[],0,0.0,False
546,5,[5],1,1.0,True
547,2,[2],1,1.0,True
548,3,[3],1,1.0,True
549,8,[8],1,1.0,True
550,7,[7],1,1.0,True
551,0,[0],1,1.0,True
552,3,[3],1,1.0,True
553,4,[4],1,1.0,True
554,5,[3],1,1.0,False
555,2,[],0,0.0,False
556,3,[3],1,1.0,True
557,7,[7],1,1.0,True
558,5,[5],1,1.0,True
559,6,[6],1,1.0,True
560,8,[8],1,1.0,True
561,6,[6],1,1.0,True
562,7,[7],1,1.0,True
563,4,[4],1,1.0,True
564,6,[6],1,1.0,True
565,2,[6],1,1.0,False
566,4,[4],1,1.0,True
567,4,[4],1,1.0,True
568,6,[6],1,1.0,True
569,1,[1],1,1.0,True
570,2,[],0,0.0,False
571,5,[5],1,1.0,True
572,3,[3],1,1.0,True
573,4,[4],1,1.0,True
574,1,[1],1,1.0,True
575,1,[1],1,1.0,True
576,1,[1],1,1.0,True
577,7,[7],1,1.0,True
578,0,[0],1,1.0,True
579,4,[4],1,1.0,True
580,9,[8],1,1.0,False
581,4,[4],1,1.0,True
582,5,[5],1,1.0,True
583,8,[8],1,1.0,True
584,3,[3],1,1.0,True
585,3,[],0,0.0,False
586,5,[5],1,1.0,True
587,5,[5],1,1.0,True
588,2,[2],1,1.0,True
589,3,[3],1,1.0,True
590,5,[5],1,1.0,True
591,9,[9],1,1.0,True
592,4,[4],1,1.0,True
593,1,[1],1,1.0,True
594,8,[8],1,1.0,True
595,7,[7],1,1.0,True
596,7,[7],1,1.0,True
597,6,[6],1,1.0,True
598,1,[1],1,1.0,True
599,0,[0],1,1.0,True
600,4,[4],1,1.0,True
601,8,[8],1,1.0,True
602,9,[9],1,1.0,True
603,0,[0],1,1.0,True
604,5,[5],1,1.0,True
605,2,[],0,0.0,False
606,1,[1],1,1.0,True
607,8,[8],1,1.0,True
608,0,[0],1,1.0,True
609,5,[5],1,1.0,True
610,3,[5],1,1.0,False
611,8,[],0,0.0,False
612,9,[9],1,1.0,True
613,7,[7],1,1.0,True
614,8,[8],1,1.0,True
615,0,[0],1,1.0,True
616,0,[0],1,1.0,True
617,0,[0],1,1.0,True
618,8,[],0,0.0,False
619,7,[7],1,1.0,True
620,5,[5],1,1.0,True
621,2,[2],1,1.0,True
622,3,[4],1,1.0,False
623,9,[9],1,1.0,True
624,1,[1],1,1.0,True
625,6,[6],1,1.0,True
626,7,[7],1,1.0,True
627,9,[9],1,1.0,True
628,4,[4],1,1.0,True
629,3,[3],1,1.0,True
630,8,[8],1,1.0,True
631,7,[7],1,1.0,True
632,9,[9],1,1.0,True
633,2,[2],1,1.0,True
634,7,[7],1,1.0,True
635,1,[1],1,1.0,True
636,6,[6],1,1.0,True
637,3,[3],1,1.0,True
638,9,[9],1,1.0,True
639,6,[],0,0.0,False
640,5,[5],1,1.0,True
641,6,[6],1,1.0,True
642,6,[6],1,1.0,True
643,2,[2],1,1.0,True
644,8,[8],1,1.0,True
645,4,[4],1,1.0,True
646,9,[9],1,1.0,True
647,4,[4],1,1.0,True
648,1,[1],1,1.0,True
649,4,[],0,0.0,False
650,7,[7],1,1.0,True
651,0,[0],1,1.0,True
652,3,[],0,0.0,False
653,7,[7],1,1.0,True
654,6,[6],1,1.0,True
655,1,[1],1,1.0,True
656,4,[4],1,1.0,True
657,6,[6],1,1.0,True
658,8,[8],1,1.0,True
659,1,[1],1,1.0,True
660,2,[2],1,1.0,True
661,8,[8],1,1.0,True
662,5,[5],1,1.0,True
663,7,[7],1,1.0,True
664,7,[],0,0.0,False
665,6,[6],1,1.0,True
666,8,[8],1,1.0,True
667,3,[3],1,1.0,True
668,5,[5],1,1.0,True
669,3,[3],1,1.0,True
670,1,[1],1,1.0,True
671,0,[0],1,1.0,True
672,0,[0],1,1.0,True
673,8,[8],1,1.0,True
674,8,[8],1,1.0,True
675,5,[5],1,1.0,True
676,7,[5],1,1.0,False
677,7,[7],1,1.0,True
678,3,[3],1,1.0,True
679,3,[3],1,1.0,True
680,3,[3],1,1.0,True
681,2,[0],1,1.0,False
682,6,[6],1,1.0,True
683,3,[6],1,1.0,False
684,1,[1],1,1.0,True
685,6,[6],1,1.0,True
686,3,[3],1,1.0,True
687,4,[4],1,1.0,True
688,9,[9],1,1.0,True
689,0,[0],1,1.0,True
690,9,[],0,0.0,False
691,0,[],0,0.0,False
692,9,[],0,0.0,False
693,4,[4],1,1.0,True
694,8,[8],1,1.0,True
695,1,[1],1,1.0,True
696,9,[9],1,1.0,True
697,6,[1],1,1.0,False
698,3,[3],1,1.0,True
699,1,[1],1,1.0,True
700,3,[3],1,1.0,True
701,4,[4],1,1.0,True
702,6,[6],1,1.0,True
703,6,[6],1,1.0,True
704,0,[0],1,1.0,True
705,9,[9],1,1.0,True
706,0,[0],1,1.0,True
707,7,[7],1,1.0,True
708,3,[3],1,1.0,True
709,4,[4],1,1.0,True
710,6,[6],1,1.0,True
711,6,[6],1,1.0,True
712,3,[3],1,1.0,True
713,3,[],0,0.0,False
714,3,[3],1,1.0,True
715,0,[0],1,1.0,True
716,7,[7],1,1.0,True
717,4,[4],1,1.0,True
718,6,[6],1,1.0,True
719,1,[],0,0.0,False
720,2,[2],1,1.0,True
721,7,[7],1,1.0,True
722,8,[8],1,1.0,True
723,2,[2],1,1.0,True
724,1,[1],1,1.0,True
725,6,[6],1,1.0,True
726,1,[1],1,1.0,True
727,4,[4],1,1.0,True
728,9,[9],1,1.0,True
729,4,[4],1,1.0,True
730,9,[9],1,1.0,True
731,5,[5],1,1.0,True
732,3,[3],1,1.0,True
733,1,[1],1,1.0,True
734,2,[2],1,1.0,True
735,7,[],0,0.0,False
736,7,[7],1,1.0,True
737,7,[7],1,1.0,True
738,3,[3],1,1.0,True
739,3,[3],1,1.0,True
740,4,[4],1,1.0,True
741,3,[3],1,1.0,True
742,0,[],0,0.0,False
743,3,[3],1,1.0,True
744,0,[0],1,1.0,True
745,5,[5],1,1.0,True
746,6,[6],1,1.0,True
747,6,[6],1,1.0,True
748,3,[5],1,1.0,False
749,8,[8],1,1.0,True
750,6,[6],1,1.0,True
751,6,[6],1,1.0,True
752,0,[0],1,1.0,True
753,2,[2],1,1.0,True
754,0,[0],1,1.0,True
755,9,[9],1,1.0,True
756,3,[3],1,1.0,True
757,4,[4],1,1.0,True
758,3,[],0,0.0,False
759,5,[5],1,1.0,True
760,3,[3],1,1.0,True
761,9,[9],1,1.0,True
762,2,[2],1,1.0,True
763,4,[4],1,1.0,True
764,9,[9],1,1.0,True
765,1,[1],1,1.0,True
766,0,[0],1,1.0,True
767,0,[0],1,1.0,True
768,0,[0],1,1.0,True
769,6,[6],1,1.0,True
770,7,[7],1,1.0,True
771,6,[6],1,1.0,True
772,2,[2],1,1.0,True
773,3,[3],1,1.0,True
774,0,[0],1,1.0,True
775,8,[8],1,1.0,True
776,9,[9],1,1.0,True
777,0,[0],1,1.0,True
778,6,[6],1,1.0,True
779,1,[1],1,1.0,True
780,6,[6],1,1.0,True
781,0,[0],1,1.0,True
782,2,[2],1,1.0,True
783,7,[7],1,1.0,True
784,3,[3],1,1.0,True
785,5,[5],1,1.0,True
786,5,[5],1,1.0,True
787,8,[8],1,1.0,True
788,1,[1],1,1.0,True
789,3,[3],1,1.0,True
790,7,[7],1,1.0,True
791,9,[9],1,1.0,True
792,7,[7],1,1.0,True
793,8,[8],1,1.0,True
794,0,[0],1,1.0,True
795,6,[6],1,1.0,True
796,8,[8],1,1.0,True
797,0,[0],1,1.0,True
798,8,[8],1,1.0,True
799,4,[4],1,1.0,True
800,9,[9],1,1.0,True
801,9,[9],1,1.0,True
802,1,[],0,0.0,False
803,7,[2],1,1.0,False
804,8,[8],1,1.0,True
805,7,[7],1,1.0,True
806,1,[1],1,1.0,True
807,1,[1],1,1.0,True
808,2,[2],1,1.0,True
809,7,[],0,0.0,False
810,4,[4],1,1.0,True
811,8,[8],1,1.0,True
812,0,[0],1,1.0,True
813,9,[9],1,1.0,True
814,4,[4],1,1.0,True
815,1,[1],1,1.0,True
816,6,[6],1,1.0,True
817,9,[9],1,1.0,True
818,9,[],0,0.0,False
819,0,[0],1,1.0,True
820,9,[9],1,1.0,True
821,7,[7],1,1.0,True
822,3,[],0,0.0,False
823,4,[4],1,1.0,True
824,3,[],0,0.0,False
825,5,[5],1,1.0,True
826,1,[1],1,1.0,True
827,9,[9],1,1.0,True
828,5,[5],1,1.0,True
829,6,[6],1,1.0,True
830,3,[],0,0.0,False
831,1,[1],1,1.0,True
832,9,[9],1,1.0,True
833,1,[1],1,1.0,True
834,3,[3],1,1.0,True
835,4,[4],1,1.0,True
836,2,[],0,0.0,False
837,1,[1],1,1.0,True
838,6,[6],1,1.0,True
839,5,[5],1,1.0,True
840,5,[5],1,1.0,True
841,0,[0],1,1.0,True
842,0,[0],1,1.0,True
843,6,[6],1,1.0,True
844,4,[4],1,1.0,True
845,0,[0],1,1.0,True
846,9,[9],1,1.0,True
847,9,[9],1,1.0,True
848,1,[1],1,1.0,True
849,0,[0],1,1.0,True
850,8,[8],1,1.0,True
851,6,[6],1,1.0,True
852,9,[9],1,1.0,True
853,7,[7],1,1.0,True
854,9,[9],1,1.0,True
855,5,[5],1,1.0,True
856,0,[0],1,1.0,True
857,3,[3],1,1.0,True
858,4,[4],1,1.0,True
859,8,[8],1,1.0,True
860,6,[6],1,1.0,True
861,7,[7],1,1.0,True
862,5,[5],1,1.0,True
863,0,[0],1,1.0,True
864,3,[],0,0.0,False
865,8,[8],1,1.0,True
866,6,[],0,0.0,False
867,2,[2],1,1.0,True
868,4,[4],1,1.0,True
869,0,[0],1,1.0,True
870,1,[1],1,1.0,True
871,3,[],0,0.0,False
872,2,[2],1,1.0,True
873,8,[8],1,1.0,True
874,9,[9],1,1.0,True
875,0,[0],1,1.0,True
876,7,[7],1,1.0,True
877,7,[7],1,1.0,True
878,7,[7],1,1.0,True
879,3,[3],1,1.0,True
880,9,[9],1,1.0,True
881,0,[0],1,1.0,True
882,5,[5],1,1.0,True
883,8,[8],1,1.0,True
884,9,[9],1,1.0,True
885,4,[4],1,1.0,True
886,8,[8],1,1.0,True
887,5,[5],1,1.0,True
888,5,[5],1,1.0,True
889,4,[4],1,1.0,True
890,2,[2],1,1.0,True
891,9,[9],1,1.0,True
892,2,[2],1,1.0,True
893,2,[2],1,1.0,True
894,3,[3],1,1.0,True
895,6,[6],1,1.0,True
896,7,[7],1,1.0,True
897,4,[4],1,1.0,True
898,8,[8],1,1.0,True
899,3,[3],1,1.0,True
900,5,[5],1,1.0,True
901,8,[8],1,1.0,True
902,8,[8],1,1.0,True
903,1,[1],1,1.0,True
904,7,[7],1,1.0,True
905,6,[6],1,1.0,True
906,2,[2],1,1.0,True
907,2,[],0,0.0,False
908,4,[4],1,1.0,True
909,0,[0],1,1.0,True
910,3,[5],1,1.0,False
911,5,[],0,0.0,False
912,8,[8],1,1.0,True
913,7,[7],1,1.0,True
914,7,[7],1,1.0,True
915,4,[4],1,1.0,True
916,6,[6],1,1.0,True
917,0,[0],1,1.0,True
918,0,[0],1,1.0,True
919,6,[6],1,1.0,True
920,9,[9],1,1.0,True
921,3,[3],1,1.0,True
922,1,[1],1,1.0,True
923,2,[2],1,1.0,True
924,1,[1],1,1.0,True
925,8,[8],1,1.0,True
926,4,[4],1,1.0,True
927,5,[5],1,1.0,True
928,1,[1],1,1.0,True
929,7,[7],1,1.0,True
930,1,[1],1,1.0,True
931,6,[6],1,1.0,True
932,6,[6],1,1.0,True
933,5,[5],1,1.0,True
